BUFE_ADI;ILCE;MAHALLE;ADRES;BOYLAM;ENLEM
Doğanlar;Bornova;Doğanlar;1527 Sk. No:10/1 ;27.248901;38.449486
Naldöken;Bornova;Naldöken;1224 Sk. No:52/1-A ;27.269024;38.45788
Pınarbaşı;Bornova;Gürpınar; 7055 Sk. No:32/1-A ;27.269429;38.429865
Karacaoğlan;Bornova;Karacaoğlan; 6218 sk. No:2/3-A ;27.206072;38.442147
Yeşilova;Bornova;Yeşilova;4051 Sk. No:109/A ;27.207332;38.434674
Barbaros;Bornova;Barbaros;5332 Sk. No:2/E ;27.198034;38.436305
Tuna;Bornova;Tuna;5652 Sk. No: 18/A  ;27.190939;38.429191
Koşukavak;Bornova;Koşukavak;4252 Sk. No:11/A ;27.200659;38.427276
Serintepe;Bornova;Serintepe; 4310 Sk. No:19/1 ;27.195919;38.423379
Zafer;Bornova;Zafer;4342/2 Sk.No:18 ;27.202535;38.420308
Çamkule;Bornova;Çamkule;4712 Sokak No:44/A ;27.189384;38.414508
İzkent ;Buca;İzkent; 1308 Sk. No:6/1 ;27.1896740611233;38.3992651950742
Karanfil;Buca;Karanfil; 1107 Sk. No:2/1 ;27.18701;38.389824
Cumhuriyet;Buca;Cumhuriyet;1255 Sokak No:5/1 ;27.194172;38.393919
Yıldız Mah.;Buca;Atatürk; Ahmet Yesevi Cad. No:95/1 ;27.180825;38.375741
Kuruçeşme;Buca;Kuruçeşme; 203/48 Sokak No:1 ;27.191282;38.372327
Buca Koop.;Buca;Buca Koop; 1403 Sk. No:16/2 ;27.185247;38.368735
Yiğitler;Buca;Yiğitler;Onat Cad. No:64 ;27.152935;38.395649
Akıncılar;Buca;Akıncılar; 551 Sk. No:44/1 ;27.144984;38.386076
Fırat;Buca;Fırat;287/3 Sk. No:6 ;27.146786;38.37675
Yeşilbağlar;Buca;Yeşilbağlar; 637/16 Sk. No:1/1 ;27.148177;38.370539
Göksu;Buca;Göksu; 679/24 Sk. No:24/1 ;27.14758;38.366003
Mustafa Kemal;Buca;Mustafa Kemal; 694/44 Sk. No:35/1 ;27.150218;38.361578
Çamlıpınar;Buca;Çamlıpınar; 254 Sk. No:309/3 ;27.160842;38.365405
Kozağaç;Buca;Kozağaç; 254 Sk. No:99/1   ;27.169652;38.377185
Ege Mah.;Konak;Ege; 1244/1 Sokak No:1/3;27.154237;38.428659
Ballıkuyu;Konak;Kocakapı;1282 Sk. No:7/1 ;27.149298;38.419915
Yenidoğan;Konak;Güney; Gürçeşme Cad. No:70;27.157581;38.419433
Emir Sultan;Konak;Emirsultan; 2206 Sk. No:1/1 ;27.167114;38.420515
Ferahlı;Konak;Ferahlı; Gürçeşme Cad. no:123/1;27.16189;38.412483
Toros;Konak;Ulubatlı; 2739 Sk. No:60/1 ;27.171059;38.409567
İsmetpaşa;Konak;İsmetpaşa;3659 Sk. No:10 ;27.163074;38.40514
Kilimcitepe;Karabağlar;Çalıkuşu; 3206 Sk. No:2/1 ;27.127358;38.396321
Vatan;Karabağlar;kazım Karabekir;Türbe Cad. No:66  ;27.111041;38.392193
Sevgi ;Karabağlar;Sevgi;4632 Sk. No:6/1 ;27.115724;38.384672
Barış;Karabağlar;Barış; 5714 /1 Sk. No:154/1 ;27.124021;38.381061
Ali Fuat Cebesoy;Karabağlar;Sevgi; Eski İzmir Cad. No:365 ;27.113249;38.381983
Günaltay;Karabağlar;Günaltay; 4743 Sk. No:28 ;27.11503;38.37695
Yunus Emre;Karabağlar;Yunus Emre; 4951 Sk. No:80 ;27.123465;38.36977
Eski İzmir;Karabağlar;Devrim; Eski İzmir Cad. No:587/1 ;27.107303;38.372044
Cennet Çeşme;Karabağlar;Ali Fuat Erden;Öğretmen Rasime Şeyhoğlu Sk. No:256/1;27.095879;38.368904
Yurdoğlu;Karabağlar;Yurdoğlu;3948 Sk. No:27/1  ;27.092573;38.361373
Uzundere Toki;Karabağlar;Yaşar Kemal; 6002 Sk. No:25/1 ;27.081736;38.354106
Peker;Karabağlar;Peker; 5140 sk. No:19;27.125159;38.360744
Aktepe;Gaziemir;Aktepe; Altan Aydın Cad. No:41 ;27.128562;38.355455
Gaziemir Merkez;Gaziemir;Atıfbey; 5 Sk. No:37/3 ;27.135577;38.32454
Sarnıç;Gaziemir;Atatürk; Büyük Menderes Cad. No:144/1 ;27.174919;38.297972
Görece;Menderes;Hürriyet; Ziya Gökalp Caddesi No:26/2;27.126803;38.28919
Cüneyt Bey;Menderes;Cüneytbey;İbrahim Turan Cad. No:77/2 ;27.133771;38.248165
