LOKASYON_Y;LOKASYON_X;ADI;TELEFON;ADRES;BOLGE_ID;BOLGE;ECZANE_ID;ILCE_ID
27.373500;37.957500;YENI NERGIZ ECZANESİ;02328927323;ZAFER MAH.3034 SOK.NO:2/10;72;SELÇUK;890;1612
27.370100;37.949700;BAHAR ECZANESİ;02328920627;ATATÜRK MAH. KIZILAY CAD. NO:20/A;72;SELÇUK;891;1612
27.281460;38.239761;AYRANCILAR ECZANESİ;02328547112;FEVZİ ÇAKMAK MAH. BARIŞ MANÇO CAD. NO:12/B AYRANCILAR;52;AYRANCILAR;892;1682
27.355400;38.178200;YESILKENT ECZANESİ;02328540097;AYRANCILAR MAH.80/2 SOK. NO:2 ;52;AYRANCILAR;893;1682
26.765700;38.322100;TUNA ECZANESİ;02327541047;YENIMAHALLE ZAFER CAD. 36;73;URLA;894;1703
26.765700;38.322100;YENI ECZANESİ;02327541648;YENI MAH.ZAFER CAD. 42;73;URLA;895;1703
26.746486;38.329251;İNCİR ECZANESİ;02327544592;TORASAN MH. 623 SK. NO:8/A;73;URLA;896;1703
26.770597;38.335487;URLA NATUREL ECZANESİ;02327542939;YENİKENT MAH. SAMANYOLU SOK. NO:6/6 (BAMBOO İŞ MERKEZİ);73;URLA;897;1703
26.767029;38.324987;DOGA ECZANESİ;02327545499;HACI İSA MH. BÜLENT BARATALI BLV. NO:48/E;73;URLA;898;1703
26.767800;38.322200;EGE DENIZ ECZANESİ;02327545266;YELALTI MAH.75.YIL CUMHURIYET CAD.NO:24;73;URLA;899;1703
27.086200;38.607400;ACUN ECZANESİ;02328328333;UGUR MUMCU MAH.1249 SOKAK NO:9/B MENEMEN;69;MENEMEN;900;1521
27.073800;38.605200;ALTINBILEK ECZANESİ;02328320220;ESATPASA MAH. ATATÜRK CAD. NO:100/B;69;MENEMEN;901;1521
27.071200;38.608900;INCI ECZANESİ;02328322481;ATATÜRK CD. RAGIP DERE SK. NO:16;69;MENEMEN;902;1521
27.071600;38.609100;TANER ECZANESİ;02328323763;KASIMPASA MH. ATATÜRK CD. NO:14 MENEMEN;69;MENEMEN;903;1521
27.079000;38.606000;BIZIM ECZANESİ;02328310818;KASIMPASA MAH. 1028/2 SOKAK C BLOK NO:1/A MENEMEN/IZMIR;69;MENEMEN;904;1521
27.078900;38.605800;DERMANCI ECZANESİ;02328322404;KASIMPASA MAH. 1028/2 SOKAK;69;MENEMEN;905;1521
27.079000;38.606500;MERT ECZANESİ;02328315626;KASIMPASA MAH. 1028/2 SOK;69;MENEMEN;906;1521
27.199035;39.117372;BURÇİN ECZANESİ;02328312923;İSLAMSARAY MH. 930 SOK. NO:3/A;54;BERGAMA;907;1181
27.087200;38.606500;MENEMEN DILEK ECZANESİ;02328326962;UGUR MUMCU MAH. 1347 SOK. NO:17/6;69;MENEMEN;908;1521
27.087500;38.607000;POYRAZ ECZANESİ;02328324505;UGUR MUMCU MH.1249 SK.NO.9/A;69;MENEMEN;909;1521
27.087500;38.606800;SAĞLIK ECZANESİ;02328321816;UGUR MUMCU MAH. 1249 SOK. NO:9/D;69;MENEMEN;910;1521
27.085893;38.606623;SEDEF ECZANESİ;02328326168;UĞUR MUMCU MAH. 1347 SOK. NO:12/C;69;MENEMEN;911;1521
27.071500;38.610300;LALE ECZANESİ;02328322038;MERMERLI MAH.CENGIZ TOPEL CAD. NO:31/D MENEMEN;69;MENEMEN;912;1521
27.069300;38.609100;NERMIN ECZANESİ;02328321095;ERTUGRUL CAD. NO:13/A;69;MENEMEN;913;1521
27.069494;38.610246;TARHAN ECZANESİ;02328323074;Ş.AYŞAN AKSOY CD. NO:6/A;69;MENEMEN;914;1521
27.079641;38.597435;POLAT ECZANESİ;02325073507;İSMET İNÖNÜ MAH. 1271/1 SOK. NO:2/1A;69;MENEMEN;915;1521
27.731900;38.087200;DÖRT EYLÜL ECZANESİ;02325115292;YENI MAH.ENSTITÜ CAD.NO:16/A;74;TİRE;916;1677
27.732300;38.089600;GÖKOGLU ECZANESİ;02325121910;CUMHURIYET MH.AYDINOGLU CD.NO.26;74;TİRE;917;1677
27.733300;38.086200;ILGI ECZANESİ;02325110230;CUMHURIYET MAH. AYDINOGLU CD. 38;74;TİRE;918;1677
27.7293783589307;38.0978044014612;KARAOĞLAN;5110530;HÜRRİYET MH. ORHAN AKSAY CD. NO:19/B;74;TİRE;919;-1
27.720614;38.099691;GÜNER ECZANESİ;02325112598;ATATÜRK MH.ISTASYON CAD.86/1B BLOK NO:1;74;TİRE;920;1677
27.7371215627994;38.0882645787774;OKUROĞLU;5121345;KURTULUŞ MH GÜMÜŞPALA CD NO  94/A;74;TİRE;921;-1
27.735300;38.091000;EGE ÖMÜR ECZANESİ;02325110109;İPEKÇİLER MAH. ADLİYE MEYDANI NO:2/F;74;TİRE;923;1677
27.739400;38.089100;BIZIM ECZANESİ;02325110044;ATATÜRK MH.TOPLU KONUT SİTESİ İÇİ;74;TİRE;924;1677
27.7212280040138;38.0913478879855;ŞİFA;5121297;Fatih Mh Fahrettin Altay Cad. No:64/B-8;74;TİRE;925;-1
27.726200;38.094900;TANSU ECZANESİ;02325112525;ATATÜRK MAH. ISTASYON CAD. NO:86/1 B BLOK D:2;74;TİRE;926;1677
27.732300;38.089600;DEVA ECZANESİ;02325123595;KURTULUS MAH.TÜRKOCAGI CAD. NO:1/A TIRE/IZMIR;74;TİRE;927;1677
27.711639;38.040520;BARIS ECZANESİ;02325110878;ATATÜRK MAH.ISTASYON CAD.86/1-A BLOK NO:2;74;TİRE;928;1677
27.737100;38.087600;SÖNMEZ ECZANESİ;02325124295;BALCI CAD. 41;74;TİRE;929;1677
27.720219;38.100153;KIVRAK ECZANESİ;02325115909;ATATÜRK MH. İSTASYON CD. NO:86/1 A BLOK 5;74;TİRE;930;1677
27.732300;38.089600;KESELİ ECZANESİ;02325115841;ATATÜRK MAH. ISTASYON CAD. NO:86/1 A BLOK NO.3 TIRE;74;TİRE;931;1677
27.728200;38.096900;IDIL ECZANESİ;02325001600;YENI MAH.GÜVEN CAD.42/A-B BLOK NO:5;74;TİRE;932;1677
27.719000;38.095400;GÜLSEVER ECZANESİ;02325129811;FATİH MH. CAN EGELİ SK. NO:14/A Z-7;74;TİRE;933;1677
27.9678621263567;38.2273713282055;DERMAN;5452127;ORDU CD NO 1/C;70;ÖDEMİŞ;934;-1
27.972100;38.229300;HALK ECZANESİ;02325451521;AKINCILAR MH.HÜRRYT CD.32/B;70;ÖDEMİŞ;935;1563
27.987371;38.231904;UYSAL ECZANESİ;02329993677;ZAFER MH. ORTAÇ SK. NO:13/D;70;ÖDEMİŞ;936;1563
27.971700;38.229300;ÇAKAR ECZANESİ;02325444792;AKINCILAR MAH.HÜRRIYET CD.NO:28/1-D;70;ÖDEMİŞ;937;1563
27.970900;38.230900;VATAN ECZANESİ;02325443039;ATATÜRK MH. ATATÜRK CD.NO:43/A;70;ÖDEMİŞ;938;1563
27.978500;38.228000;GARAJ ECZANESİ;02325442657;CUMHURIYET MAH. ATATÜRK CD. 20/21;70;ÖDEMİŞ;939;1563
27.979700;38.228100;UMUT ECZANESİ;02325453010;ATATÜRK MH.ATATÜRK CD.91/B;70;ÖDEMİŞ;940;1563
27.987331;38.231754;SOYUER ECZANESİ;02325448686;ZAFER MAH. ORTAÇ SOK. NO:13/C;70;ÖDEMİŞ;941;1563
